event_type,msg_len,app_installed,delivery_retry_score,label_channel
Fraud Alert,97,1,1,SMS
Payment Confirmation,61,0,0,Email
Login OTP,7,1,0,SMS
Transaction OTP,4,1,0,Email
Login OTP,9,1,1,SMS
Transaction OTP,4,1,0,Push Notification
Payment Confirmation,148,1,2,Email
Reward Points Update,75,1,2,Push Notification
Payment Confirmation,164,0,0,Email
Login OTP,8,1,0,SMS
Low Balance Alert,102,0,0,Email
Low Balance Alert,47,1,1,Push Notification
Low Balance Alert,78,1,0,Push Notification
Beneficiary Added Alert,88,1,0,WhatsApp
Reward Points Update,142,1,1,Email
Beneficiary Added Alert,73,1,1,WhatsApp
Transaction OTP,11,1,1,Push Notification
Low Balance Alert,114,1,0,Email
Beneficiary Added Alert,114,0,1,WhatsApp
Payment Confirmation,82,1,2,Email
Payment Confirmation,183,1,0,Email
Monthly Statement,161,1,1,Push Notification
Fraud Alert,21,1,1,SMS
Credit Card Bill Reminder,209,1,0,Push Notification
KYC Reminder,104,1,0,Push Notification
Monthly Statement,27,1,1,Email
Monthly Statement,146,1,3,Push Notification
Payment Confirmation,187,1,0,Email
Credit Card Bill Reminder,180,0,1,Email
Transaction OTP,10,1,0,Email
Beneficiary Added Alert,96,0,1,WhatsApp
Transaction OTP,8,1,0,Push Notification
Reward Points Update,26,0,1,Email
Monthly Statement,135,1,1,Push Notification
Reward Points Update,129,0,1,Email
Beneficiary Added Alert,80,0,1,WhatsApp
Monthly Statement,99,1,0,Email
Login OTP,10,0,0,SMS
Fraud Alert,52,1,0,SMS
Login OTP,10,1,1,SMS
Reward Points Update,20,0,1,Email
Fraud Alert,29,1,0,Email
Login OTP,5,1,1,SMS
Payment Confirmation,199,1,1,Push Notification
Transaction OTP,5,1,3,Push Notification
KYC Reminder,145,1,0,SMS
Beneficiary Added Alert,20,0,1,WhatsApp
Reward Points Update,62,1,0,Push Notification
Fraud Alert,28,0,0,Push Notification
Payment Confirmation,122,1,1,Push Notification
Reward Points Update,93,1,0,Email
Beneficiary Added Alert,71,1,0,WhatsApp
Transaction OTP,6,1,0,Email
